"id_with_url","name","species","feature_type","description"
"ENSMUSG00000065087","Snord22","Mouse","Gene","small nucleolar RNA, C/D box 22 [Source:MGI Symbol;Acc:MGI:1933385]  Snord22 (MGI Symbol record with a description of small nucleolar RNA, C/D box 22), with synonyms of Rnu22, U22, is associated with Gene ENSMUSG00000065087"
"100127111","Snord22","Mouse","Gene"," Snord22 (RefSeq gene name) is associated with Gene 100127111"
"ENSMUSG00000089350","Gm25487","Mouse","Gene","predicted gene, 25487 [Source:MGI Symbol;Acc:MGI:5455264]  SNORD22 (RFAM record with a description of Small nucleolar RNA SNORD22) is associated with Gene ENSMUSG00000089350"
