"id_with_url","name","species","feature_type","description"
"ENSMUSG00000065904","Gm26109","Mouse","Gene","predicted gene, 26109 [Source:MGI Symbol;Acc:MGI:5455886]  SNORD63 (RFAM record with a description of Small nucleolar RNA SNORD63) is associated with Gene ENSMUSG00000065904"
"ENSMUSG00000089239","Gm22200","Mouse","Gene","predicted gene, 22200 [Source:MGI Symbol;Acc:MGI:5451977]  SNORD63 (RFAM record with a description of Small nucleolar RNA SNORD63) is associated with Gene ENSMUSG00000089239"
