"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064767","Snord35b","Mouse","Gene","small nucleolar RNA, C/D box 35B [Source:MGI Symbol;Acc:MGI:1351321]  SNORD35 (RFAM record with a description of Small nucleolar RNA SNORD35) is associated with Gene ENSMUSG00000064767"
"ENSMUSG00000065818","Snord35a","Mouse","Gene","small nucleolar RNA, C/D box 35A [Source:MGI Symbol;Acc:MGI:1351319]  SNORD35 (RFAM record with a description of Small nucleolar RNA SNORD35) is associated with Gene ENSMUSG00000065818"
"27211","Snord35a","Mouse","Gene",""
"27212","Snord35b","Mouse","Gene",""
