"id_with_url","name","species","feature_type","description"
"ENSMUSG00000065735","Snord80","Mouse","Gene","small nucleolar RNA, C/D box 80 [Source:MGI Symbol;Acc:MGI:5454266]  Snord80 (MGI Symbol record with a description of small nucleolar RNA, C/D box 80), with a synonym of Gm24489, is associated with Gene ENSMUSG00000065735"
"ENSMUSG00000105780","Snord80","Mouse","Gene","small nucleolar RNA, C/D box 80 [Source:MGI Symbol;Acc:MGI:5454266]  Snord80 (MGI Symbol record with a description of small nucleolar RNA, C/D box 80), with a synonym of Gm24489, is associated with Gene ENSMUSG00000105780"
