"id_with_url","name","species","feature_type","description"
"ENSMUSG00000096502","Gm23089","Mouse","Gene","predicted gene, 23089 [Source:MGI Symbol;Acc:MGI:5452866]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096502"
"ENSMUSG00000093802","Gm23619","Mouse","Gene","predicted gene, 23619 [Source:MGI Symbol;Acc:MGI:5453396]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093802"
"ENSMUSG00000093869","Gm22631","Mouse","Gene","predicted gene, 22631 [Source:MGI Symbol;Acc:MGI:5452408]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093869"
"ENSMUSG00000093929","Gm23862","Mouse","Gene","predicted gene, 23862 [Source:MGI Symbol;Acc:MGI:5453639]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093929"
"ENSMUSG00000094407","Gm23141","Mouse","Gene","predicted gene, 23141 [Source:MGI Symbol;Acc:MGI:5452918]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094407"
"ENSMUSG00000094837","Gm25471","Mouse","Gene","predicted gene, 25471 [Source:MGI Symbol;Acc:MGI:5455248]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094837"
"ENSMUSG00000094890","Gm22285","Mouse","Gene","predicted gene, 22285 [Source:MGI Symbol;Acc:MGI:5452062]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094890"
"ENSMUSG00000094923","Gm24760","Mouse","Gene","predicted gene, 24760 [Source:MGI Symbol;Acc:MGI:5454537]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094923"
"ENSMUSG00000094960","Gm22417","Mouse","Gene","predicted gene, 22417 [Source:MGI Symbol;Acc:MGI:5452194]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094960"
"ENSMUSG00000094987","Gm23724","Mouse","Gene","predicted gene, 23724 [Source:MGI Symbol;Acc:MGI:5453501]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094987"
