"id_with_url","name","species","feature_type","description"
"ENSMUSG00000088909","Gm25432","Mouse","Gene","predicted gene, 25432 [Source:MGI Symbol;Acc:MGI:5455209]  SNORD86 (RFAM record with a description of Small nucleolar RNA SNORD86) is associated with Gene ENSMUSG00000088909"
"ENSMUSG00000077557","Gm23706","Mouse","Gene","predicted gene, 23706 [Source:MGI Symbol;Acc:MGI:5453483]  SNORD86 (RFAM record with a description of Small nucleolar RNA SNORD86) is associated with Gene ENSMUSG00000077557"
"ENSMUSG00000077649","Gm24989","Mouse","Gene","predicted gene, 24989 [Source:MGI Symbol;Acc:MGI:5454766]  SNORD86 (RFAM record with a description of Small nucleolar RNA SNORD86) is associated with Gene ENSMUSG00000077649"
"ENSMUSG00000077685","Gm22498","Mouse","Gene","predicted gene, 22498 [Source:MGI Symbol;Acc:MGI:5452275]  SNORD86 (RFAM record with a description of Small nucleolar RNA SNORD86) is associated with Gene ENSMUSG00000077685"
"ENSMUSG00000093645","Gm23187","Mouse","Gene","predicted gene, 23187 [Source:MGI Symbol;Acc:MGI:5452964]  SNORD86 (RFAM record with a description of Small nucleolar RNA SNORD86) is associated with Gene ENSMUSG00000093645"
