"id_with_url","name","species","feature_type","description"
"ENSMUSG00000094411","Snord16a","Mouse","Gene","small nucleolar RNA, C/D box 16A [Source:MGI Symbol;Acc:MGI:3819522]  SNORD16 (RFAM record with a description of Small nucleolar RNA SNORD16) is associated with Gene ENSMUSG00000094411"
"ENSMUSG00000095868","Gm23136","Mouse","Gene","predicted gene, 23136 [Source:MGI Symbol;Acc:MGI:5452913]  SNORD16 (RFAM record with a description of Small nucleolar RNA SNORD16) is associated with Gene ENSMUSG00000095868"
"100217453","Snord16a","Mouse","Gene",""
