"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064731","Snord45b","Mouse","Gene","small nucleolar RNA, C/D box 45B [Source:MGI Symbol;Acc:MGI:3819535]  SNORD45 (RFAM record with a description of Small nucleolar RNA SNORD45) is associated with Gene ENSMUSG00000064731"
"ENSMUSG00000065463","Snord45c","Mouse","Gene","small nucleolar RNA, C/D box 45C [Source:MGI Symbol;Acc:MGI:3819536]  SNORD45 (RFAM record with a description of Small nucleolar RNA SNORD45) is associated with Gene ENSMUSG00000065463"
"ENSMUSG00000065738","Gm24494","Mouse","Gene","predicted gene, 24494 [Source:MGI Symbol;Acc:MGI:5454271]  SNORD45 (RFAM record with a description of Small nucleolar RNA SNORD45) is associated with Gene ENSMUSG00000065738"
"100217425","Snord45c","Mouse","Gene",""
"100217468","Snord45b","Mouse","Gene",""
