"id_with_url","name","species","feature_type","description"
"ENSMUSG00000065219","Snord32a","Mouse","Gene","small nucleolar RNA, C/D box 32A [Source:MGI Symbol;Acc:MGI:1351324]  SNORD33 (RFAM record with a description of Small nucleolar RNA Z195/SNORD33/SNORD32 family) is associated with Gene ENSMUSG00000065219"
"ENSMUSG00000084445","Gm26252","Mouse","Gene","predicted gene, 26252 [Source:MGI Symbol;Acc:MGI:5456029]  SNORD33 (RFAM record with a description of Small nucleolar RNA Z195/SNORD33/SNORD32 family) is associated with Gene ENSMUSG00000084445"
"ENSMUSG00000065628","Snord33","Mouse","Gene","small nucleolar RNA, C/D box 33 [Source:MGI Symbol;Acc:MGI:1351323]  SNORD33 (RFAM record with a description of Small nucleolar RNA Z195/SNORD33/SNORD32 family) is associated with Gene ENSMUSG00000065628"
"27209","Snord32a","Mouse","Gene",""
