"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064437","Snord49b","Mouse","Gene","small nucleolar RNA, C/D box 49B [Source:MGI Symbol;Acc:MGI:3819539]  SNORD49 (RFAM record with a description of Small nucleolar RNA SNORD49) is associated with Gene ENSMUSG00000064437"
"ENSMUSG00000065734","Snord49a","Mouse","Gene","small nucleolar RNA, C/D box 49A [Source:MGI Symbol;Acc:MGI:3819538]  SNORD49 (RFAM record with a description of Small nucleolar RNA SNORD49) is associated with Gene ENSMUSG00000065734"
"100217426","Snord49b","Mouse","Gene",""
"100217455","Snord49a","Mouse","Gene",""
