"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064829","Gm22879","Mouse","Gene","predicted gene, 22879 [Source:MGI Symbol;Acc:MGI:5452656]  SNORD36 (RFAM record with a description of Small nucleolar RNA SNORD36) is associated with Gene ENSMUSG00000064829"
"ENSMUSG00000065295","Gm24134","Mouse","Gene","predicted gene, 24134 [Source:MGI Symbol;Acc:MGI:5453911]  SNORD36 (RFAM record with a description of Small nucleolar RNA SNORD36) is associated with Gene ENSMUSG00000065295"
