"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064573","Gm25802","Mouse","Gene","predicted gene, 25802 [Source:MGI Symbol;Acc:MGI:5455579]  SNORD81 (RFAM record with a description of Small nucleolar RNA SNORD81) is associated with Gene ENSMUSG00000064573"
"ENSMUSG00000065228","Gm25789","Mouse","Gene","predicted gene, 25789 [Source:MGI Symbol;Acc:MGI:5455566]  SNORD81 (RFAM record with a description of Small nucleolar RNA SNORD81) is associated with Gene ENSMUSG00000065228"
