"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064780","Snord95","Mouse","Gene","small nucleolar RNA, C/D box 95 [Source:MGI Symbol;Acc:MGI:3819567]  Snord95 (MGI Symbol record with a description of small nucleolar RNA, C/D box 95) is associated with Gene ENSMUSG00000064780"
"100216540","Snord95","Mouse","Gene"," Snord95 (RefSeq gene name) is associated with Gene 100216540"
"ENSMUSG00000064500","Gm25296","Mouse","Gene","predicted gene, 25296 [Source:MGI Symbol;Acc:MGI:5455073]  SNORD95 (RFAM record with a description of Small nucleolar RNA SNORD95) is associated with Gene ENSMUSG00000064500"
"ENSMUSG00000077755","Gm23531","Mouse","Gene","predicted gene, 23531 [Source:MGI Symbol;Acc:MGI:5453308]  SNORD95 (RFAM record with a description of Small nucleolar RNA SNORD95) is associated with Gene ENSMUSG00000077755"
