"id_with_url","name","species","feature_type","description"
"ENSMUSG00000095205","Snord93","Mouse","Gene","small nucleolar RNA, C/D box 93 [Source:MGI Symbol;Acc:MGI:3819566]  Snord93 (MGI Symbol record with a description of small nucleolar RNA, C/D box 93), with synonyms of MBII-336, Gm22397, is associated with Gene ENSMUSG00000095205"
"100217436","Snord93","Mouse","Gene"," Snord93 (RefSeq gene name) is associated with Gene 100217436"
"ENSMUSG00000096832","Mir3096","Mouse","Gene","microRNA 3096 [Source:MGI Symbol;Acc:MGI:4834311]  SNORD93 (RFAM record with a description of Small nucleolar RNA SNORD93) is associated with Gene ENSMUSG00000096832"
