"id_with_url","name","species","feature_type","description"
"ENSMUSG00000077698","Snord12","Mouse","Gene","small nucleolar RNA, C/D box 12 [Source:MGI Symbol;Acc:MGI:3819520]  Snord12 (MGI Symbol record with a description of small nucleolar RNA, C/D box 12), with a synonym of MBII-99, is associated with Gene ENSMUSG00000077698"
"100217443","Snord12","Mouse","Gene"," Snord12 (RefSeq gene name) is associated with Gene 100217443"
"ENSMUSG00000077294","Gm24123","Mouse","Gene","predicted gene, 24123 [Source:MGI Symbol;Acc:MGI:5453900]  SNORD12 (RFAM record with a description of Small nucleolar SNORD12/SNORD106) is associated with Gene ENSMUSG00000077294"
"ENSMUSG00000077515","Gm25878","Mouse","Gene","predicted gene, 25878 [Source:MGI Symbol;Acc:MGI:5455655]  SNORD12 (RFAM record with a description of Small nucleolar SNORD12/SNORD106) is associated with Gene ENSMUSG00000077515"
"ENSMUSG00000077565","Gm23201","Mouse","Gene","predicted gene, 23201 [Source:MGI Symbol;Acc:MGI:5452978]  SNORD12 (RFAM record with a description of Small nucleolar SNORD12/SNORD106) is associated with Gene ENSMUSG00000077565"
