"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064741","Snord14a","Mouse","Gene","small nucleolar RNA, C/D box 14A [Source:MGI Symbol;Acc:MGI:3851608]  SNORD14 (RFAM record with a description of Small nucleolar RNA SNORD14) is associated with Gene ENSMUSG00000064741"
"ENSMUSG00000064791","Snord14e","Mouse","Gene","small nucleolar RNA, C/D box 14E [Source:MGI Symbol;Acc:MGI:3851606]  SNORD14 (RFAM record with a description of Small nucleolar RNA SNORD14) is associated with Gene ENSMUSG00000064791"
"ENSMUSG00000095118","Snord14d","Mouse","Gene","small nucleolar RNA, C/D box 14D [Source:MGI Symbol;Acc:MGI:3851602]  SNORD14 (RFAM record with a description of Small nucleolar RNA SNORD14) is associated with Gene ENSMUSG00000095118"
"ENSMUSG00000096263","Snord14c","Mouse","Gene","small nucleolar RNA, C/D box 14C [Source:MGI Symbol;Acc:MGI:97971]  SNORD14 (RFAM record with a description of Small nucleolar RNA SNORD14) is associated with Gene ENSMUSG00000096263"
"100302592","Snord14a","Mouse","Gene",""
"100302593","Snord14d","Mouse","Gene",""
"100302594","Snord14e","Mouse","Gene",""
"108637","Snord14c","Mouse","Gene",""
