"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064540","Snord42a","Mouse","Gene","small nucleolar RNA, C/D box 42A [Source:MGI Symbol;Acc:MGI:3819532]  SNORD42 (RFAM record with a description of Small nucleolar RNA SNORD42) is associated with Gene ENSMUSG00000064540"
"ENSMUSG00000065676","Snord42b","Mouse","Gene","small nucleolar RNA, C/D box 42B [Source:MGI Symbol;Acc:MGI:3819533]  SNORD42 (RFAM record with a description of Small nucleolar RNA SNORD42) is associated with Gene ENSMUSG00000065676"
"100529076","Snord42a","Mouse","Gene",""
"100529077","Snord42b","Mouse","Gene",""
