"id_with_url","name","species","feature_type","description"
"ENSMUSG00000095472","Snord88a","Mouse","Gene","small nucleolar RNA, C/D box 88A [Source:MGI Symbol;Acc:MGI:3819560]  SNORD88 (RFAM record with a description of Small nucleolar RNA SNORD88) is associated with Gene ENSMUSG00000095472"
"ENSMUSG00000096296","Snord88c","Mouse","Gene","small nucleolar RNA, C/D box 88C [Source:MGI Symbol;Acc:MGI:3819561]  SNORD88 (RFAM record with a description of Small nucleolar RNA SNORD88) is associated with Gene ENSMUSG00000096296"
"ENSMUSG00000080352","Gm26247","Mouse","Gene","predicted gene, 26247 [Source:MGI Symbol;Acc:MGI:5456024]  SNORD88 (RFAM record with a description of Small nucleolar RNA SNORD88) is associated with Gene ENSMUSG00000080352"
"ENSMUSG00000084422","Gm25108","Mouse","Gene","predicted gene, 25108 [Source:MGI Symbol;Acc:MGI:5454885]  SNORD88 (RFAM record with a description of Small nucleolar RNA SNORD88) is associated with Gene ENSMUSG00000084422"
"ENSMUSG00000084738","Gm25809","Mouse","Gene","predicted gene, 25809 [Source:MGI Symbol;Acc:MGI:5455586]  SNORD88 (RFAM record with a description of Small nucleolar RNA SNORD88) is associated with Gene ENSMUSG00000084738"
"ENSMUSG00000080683","Gm23991","Mouse","Gene","predicted gene, 23991 [Source:MGI Symbol;Acc:MGI:5453768]  SNORD88 (RFAM record with a description of Small nucleolar RNA SNORD88) is associated with Gene ENSMUSG00000080683"
"100217433","Snord88a","Mouse","Gene",""
"100217434","Snord88c","Mouse","Gene",""
