"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064871","Snord58b","Mouse","Gene","small nucleolar RNA, C/D box 58B [Source:MGI Symbol;Acc:MGI:3819545]  SNORD58 (RFAM record with a description of Small nucleolar RNA SNORD58) is associated with Gene ENSMUSG00000064871"
"ENSMUSG00000064647","Gm23301","Mouse","Gene","predicted gene, 23301 [Source:MGI Symbol;Acc:MGI:5453078]  SNORD58 (RFAM record with a description of Small nucleolar RNA SNORD58) is associated with Gene ENSMUSG00000064647"
"ENSMUSG00000064844","Gm26202","Mouse","Gene","predicted gene, 26202 [Source:MGI Symbol;Acc:MGI:5455979]  SNORD58 (RFAM record with a description of Small nucleolar RNA SNORD58) is associated with Gene ENSMUSG00000064844"
"ENSMUSG00000065853","Gm22354","Mouse","Gene","predicted gene, 22354 [Source:MGI Symbol;Acc:MGI:5452131]  SNORD58 (RFAM record with a description of Small nucleolar RNA SNORD58) is associated with Gene ENSMUSG00000065853"
"100217457","Snord58b","Mouse","Gene",""
