"id_with_url","name","species","feature_type","description"
"ENSMUSG00000080396","Snord111","Mouse","Gene","small nucleolar RNA, C/D box 111 [Source:MGI Symbol;Acc:MGI:3819518]  Snord111 (MGI Symbol record with a description of small nucleolar RNA, C/D box 111), with a synonym of MBII-82, is associated with Gene ENSMUSG00000080396"
"100217465","Snord111","Mouse","Gene"," Snord111 (RefSeq gene name) is associated with Gene 100217465"
"ENSMUSG00000080518","Gm22193","Mouse","Gene","predicted gene, 22193 [Source:MGI Symbol;Acc:MGI:5451970]  SNORD111 (RFAM record with a description of Small nucleolar RNA SNORD111) is associated with Gene ENSMUSG00000080518"
