"id_with_url","name","species","feature_type","description"
"ENSMUSG00000080478","Snord23","Mouse","Gene","small nucleolar RNA, C/D box 23 [Source:MGI Symbol;Acc:MGI:3819529]  Snord23 (MGI Symbol record with a description of small nucleolar RNA, C/D box 23), with a synonym of MBII-115, is associated with Gene ENSMUSG00000080478"
"100217441","Snord23","Mouse","Gene"," Snord23 (RefSeq gene name) is associated with Gene 100217441"
"ENSMUSG00000080607","Gm23839","Mouse","Gene","predicted gene, 23839 [Source:MGI Symbol;Acc:MGI:5453616]  SNORD23 (RFAM record with a description of Small nucleolar RNA SNORD23) is associated with Gene ENSMUSG00000080607"
