"id_with_url","name","species","feature_type","description"
"ENSMUSG00000089093","Snord11","Mouse","Gene","small nucleolar RNA, C/D box 11 [Source:MGI Symbol;Acc:MGI:3819516]  Snord11 (MGI Symbol record with a description of small nucleolar RNA, C/D box 11), with a synonym of MBII-95, is associated with Gene ENSMUSG00000089093"
"100217421","Snord11","Mouse","Gene"," Snord11 (RefSeq gene name) is associated with Gene 100217421"
"ENSMUSG00000089512","Gm26287","Mouse","Gene","predicted gene, 26287 [Source:MGI Symbol;Acc:MGI:5456064]"
