"id_with_url","name","species","feature_type","description"
"ENSMUSG00000077345","Snord70","Mouse","Gene","small nucleolar RNA, C/D box 70 [Source:MGI Symbol;Acc:MGI:3819553]  Snord70 (MGI Symbol record with a description of small nucleolar RNA, C/D box 70), with synonyms of MBII-234, snoRNA234, is associated with Gene ENSMUSG00000077345"
"100217459","Snord70","Mouse","Gene"," Snord70 (RefSeq gene name) is associated with Gene 100217459"
"ENSMUSG00000088925","Gm24297","Mouse","Gene","predicted gene, 24297 [Source:MGI Symbol;Acc:MGI:5454074]  SNORD70 (RFAM record with a description of Small nucleolar RNA SNORD70) is associated with Gene ENSMUSG00000088925"
"ENSMUSG00000077358","Gm26293","Mouse","Gene","predicted gene, 26293 [Source:MGI Symbol;Acc:MGI:5456070]  SNORD70 (RFAM record with a description of Small nucleolar RNA SNORD70) is associated with Gene ENSMUSG00000077358"
