"id_with_url","name","species","feature_type","description"
"ENSMUSG00000065680","Snord38a","Mouse","Gene","small nucleolar RNA, C/D box 38A [Source:MGI Symbol;Acc:MGI:3819531]  SNORD38 (RFAM record with a description of Small nucleolar RNA SNORD38) is associated with Gene ENSMUSG00000065680"
"ENSMUSG00000064536","Gm23615","Mouse","Gene","predicted gene, 23615 [Source:MGI Symbol;Acc:MGI:5453392]  SNORD38 (RFAM record with a description of Small nucleolar RNA SNORD38) is associated with Gene ENSMUSG00000064536"
"ENSMUSG00000064542","Gm22980","Mouse","Gene","predicted gene, 22980 [Source:MGI Symbol;Acc:MGI:5452757]  SNORD38 (RFAM record with a description of Small nucleolar RNA SNORD38) is associated with Gene ENSMUSG00000064542"
"100217424","Snord38a","Mouse","Gene",""
