"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064984","Snord73a","Mouse","Gene","small nucleolar RNA, C/D box U73A [Source:MGI Symbol;Acc:MGI:1321388]  SNORD73 (RFAM record with a description of Small nucleolar RNA SNORD73) is associated with Gene ENSMUSG00000064984"
"ENSMUSG00000064390","Rnu73b","Mouse","Gene","U73B small nuclear RNA [Source:MGI Symbol;Acc:MGI:1321387]  SNORD73 (RFAM record with a description of Small nucleolar RNA SNORD73) is associated with Gene ENSMUSG00000064390"
"19870","Snord73a","Mouse","Gene",""
