"id_with_url","name","species","feature_type","description"
"ENSMUSG00000077493","Snord91a","Mouse","Gene","small nucleolar RNA, C/D box 91A [Source:MGI Symbol;Acc:MGI:3819564]  SNORD91 (RFAM record with a description of Small nucleolar RNA SNORD91 family) is associated with Gene ENSMUSG00000077493"
"ENSMUSG00000077637","Gm22771","Mouse","Gene","predicted gene, 22771 [Source:MGI Symbol;Acc:MGI:5452548]  SNORD91 (RFAM record with a description of Small nucleolar RNA SNORD91 family) is associated with Gene ENSMUSG00000077637"
"100217469","Snord91a","Mouse","Gene",""
