"id_with_url","name","species","feature_type","description"
"ENSMUSG00000064966","Snord15b","Mouse","Gene","small nucleolar RNA, C/D box 14B [Source:MGI Symbol;Acc:MGI:3779515]  SNORD15 (RFAM record with a description of Small nucleolar RNA SNORD15) is associated with Gene ENSMUSG00000064966"
"ENSMUSG00000065822","Snord15a","Mouse","Gene","small nucleolar RNA, C/D box 15A [Source:MGI Symbol;Acc:MGI:3645887]  SNORD15 (RFAM record with a description of Small nucleolar RNA SNORD15) is associated with Gene ENSMUSG00000065822"
"449630","Snord15a","Mouse","Gene",""
"449631","Snord15b","Mouse","Gene",""
