"id_with_url","name","species","feature_type","description"
"ENSMUSG00000065094","Snord1a","Mouse","Gene","small nucleolar RNA, C/D box 1A [Source:MGI Symbol;Acc:MGI:3819525]"
"ENSMUSG00000065640","Snord1c","Mouse","Gene","small nucleolar RNA, C/D box 1C [Source:MGI Symbol;Acc:MGI:3819527]"
"ENSMUSG00000077604","Snord1b","Mouse","Gene","small nucleolar RNA, C/D box 1B [Source:MGI Symbol;Acc:MGI:3819526]"
"100216531","Snord1b","Mouse","Gene",""
"100216536","Snord1c","Mouse","Gene",""
"100216538","Snord1a","Mouse","Gene",""
