"id_with_url","name","species","feature_type","description"
"ENSMUSG00000077797","Snord19","Mouse","Gene","small nucleolar RNA, C/D box 19 [Source:MGI Symbol;Acc:MGI:3819524]  Snord19 (MGI Symbol record with a description of small nucleolar RNA, C/D box 19), with a synonym of MBII-108, is associated with Gene ENSMUSG00000077797"
"100217423","Snord19","Mouse","Gene"," Snord19 (RefSeq gene name) is associated with Gene 100217423"
"ENSMUSG00000087912","Gm24916","Mouse","Gene","predicted gene, 24916 [Source:MGI Symbol;Acc:MGI:5454693]"
"ENSMUSG00000089001","Gm23852","Mouse","Gene","predicted gene, 23852 [Source:MGI Symbol;Acc:MGI:5453629]"
