gene_name,gene_id,mgi_symbol
ENSMUSG00000000938,160,Hoxa10
ENSMUSG00000000942,161,Hoxa4
ENSMUSG00000000948,162,Gm38393
ENSMUSG00000000957,163,Mmp14
ENSMUSG00000000958,164,Slc7a7
ENSMUSG00000000959,165,Oxa1l
ENSMUSG00000000976,166,Heatr6
ENSMUSG00000000982,167,Ccl3
ENSMUSG00000000983,168,Wfdc18
ENSMUSG00000001014,169,Icam4
ENSMUSG00000001016,170,Ilf2
ENSMUSG00000001017,171,Chtop
ENSMUSG00000001018,172,Snapin
ENSMUSG00000001020,173,S100a4
ENSMUSG00000001021,174,S100a3
ENSMUSG00000001023,175,S100a5
ENSMUSG00000001025,176,S100a6
ENSMUSG00000001027,177,Scn4a
ENSMUSG00000001029,178,Icam2
ENSMUSG00000001034,179,Mapk7
ENSMUSG00000001036,180,Epn2
ENSMUSG00000001039,181,B9d1
ENSMUSG00000001052,182,Sec24b
ENSMUSG00000001053,183,N4bp3
ENSMUSG00000001054,184,Rmnd5b
ENSMUSG00000001056,185,Nhp2
ENSMUSG00000001062,186,Vps9d1
ENSMUSG00000001065,187,Zfp276
ENSMUSG00000001076,188,C1ql4
ENSMUSG00000001082,189,Mfsd10
ENSMUSG00000001089,190,Luzp1
ENSMUSG00000001095,191,Slc13a2
ENSMUSG00000001098,192,Kctd10
ENSMUSG00000001100,193,Poldip2
ENSMUSG00000001103,194,Sebox
ENSMUSG00000001105,195,Ift20
ENSMUSG00000001119,196,Col6a1
ENSMUSG00000001120,197,Pcbp3
ENSMUSG00000001123,198,Lgals9
ENSMUSG00000001127,199,Araf
ENSMUSG00000001128,200,Cfp
ENSMUSG00000001131,201,Timp1
ENSMUSG00000001134,202,Uxt
ENSMUSG00000001138,203,Cnnm3
ENSMUSG00000001143,204,Lman2l
ENSMUSG00000001150,205,Mcm3ap
ENSMUSG00000001151,206,Pcnt
ENSMUSG00000001155,207,Ftcd
ENSMUSG00000001156,208,Mxd1
ENSMUSG00000001157,209,Gmcl1
ENSMUSG00000001158,210,Snrnp27
ENSMUSG00000001166,211,Oas1c
ENSMUSG00000001168,212,Oas1h
ENSMUSG00000001173,213,Ocrl
ENSMUSG00000001175,214,Calm1
ENSMUSG00000001211,215,Agpat3
ENSMUSG00000001225,216,Slc26a3
ENSMUSG00000001227,217,Sema6b
ENSMUSG00000001228,218,Uhrf1
ENSMUSG00000001229,219,Dpp9
ENSMUSG00000001240,220,Ramp2
ENSMUSG00000001247,221,Lsr
ENSMUSG00000001248,222,Gramd1a
ENSMUSG00000001249,223,Hpn
ENSMUSG00000001260,224,Gabrg1
ENSMUSG00000001270,225,Ckb
ENSMUSG00000001280,226,Sp1
ENSMUSG00000001281,227,Itgb7
ENSMUSG00000001285,228,Myg1
ENSMUSG00000001288,229,Rarg
ENSMUSG00000001289,230,Pfdn5
ENSMUSG00000001300,231,Efnb2
ENSMUSG00000001305,232,Rrp15
ENSMUSG00000001313,233,Rnd2
ENSMUSG00000001323,234,Srr
ENSMUSG00000001333,235,Sync
ENSMUSG00000001334,236,Fndc5
ENSMUSG00000001348,237,Acp5
ENSMUSG00000001349,238,Cnn1
ENSMUSG00000001366,239,Fbxo9
ENSMUSG00000001376,240,Vps50
ENSMUSG00000001379,241,NA
ENSMUSG00000001380,242,Hars
ENSMUSG00000001383,243,Zmat2
ENSMUSG00000001403,244,Ube2c
ENSMUSG00000001415,245,Smg5
ENSMUSG00000001416,246,Cct3
ENSMUSG00000001417,247,NA
ENSMUSG00000001418,248,Glmp
ENSMUSG00000001419,249,Mef2d
ENSMUSG00000001420,250,Tmem79
ENSMUSG00000001424,251,Snd1
ENSMUSG00000001435,252,Col18a1
ENSMUSG00000001436,253,Slc19a1
ENSMUSG00000001440,254,Kpnb1
ENSMUSG00000001441,255,Npepps
ENSMUSG00000001444,256,Tbx21
ENSMUSG00000001445,257,Mrpl10
ENSMUSG00000001467,258,Cyp51
ENSMUSG00000001472,259,Tcf25
ENSMUSG00000001473,260,Tubb6
ENSMUSG00000001482,261,Def8
ENSMUSG00000001493,262,Meox1
ENSMUSG00000001494,263,Sost
ENSMUSG00000001496,264,Nkx2-1
ENSMUSG00000001497,265,Pax9
ENSMUSG00000001504,266,Irx2
ENSMUSG00000001506,267,Col1a1
ENSMUSG00000001507,268,Itga3
ENSMUSG00000001508,269,Sgca
ENSMUSG00000001510,270,Dlx3
ENSMUSG00000001517,271,Foxm1
ENSMUSG00000001518,272,Itfg2
ENSMUSG00000001520,273,Nrip2
ENSMUSG00000001521,274,Tulp3
ENSMUSG00000001524,275,Gtf2h4
ENSMUSG00000001525,276,Tubb5
ENSMUSG00000001542,277,Ell2
ENSMUSG00000001552,278,Jup
ENSMUSG00000001555,279,Fkbp10
ENSMUSG00000001558,280,Klhl10
ENSMUSG00000001566,281,Mnx1
ENSMUSG00000001569,282,Nom1
ENSMUSG00000001576,283,Ergic1
ENSMUSG00000001583,284,Tnk1
ENSMUSG00000001588,285,Acap1
ENSMUSG00000001604,286,Tcea3
ENSMUSG00000001622,287,Csn3
ENSMUSG00000001627,288,Ifrd1
ENSMUSG00000001630,289,Stk38l
ENSMUSG00000001632,290,Brpf1
ENSMUSG00000001642,291,Akr1b3
ENSMUSG00000001655,292,Hoxc13
ENSMUSG00000001656,293,Hoxc11
ENSMUSG00000001657,294,Hoxc8
ENSMUSG00000001661,295,Hoxc6
ENSMUSG00000001663,296,Gstt1
ENSMUSG00000001665,297,Gstt3
ENSMUSG00000001666,298,Ddt
ENSMUSG00000001670,299,Tat
ENSMUSG00000001672,300,Marveld3
ENSMUSG00000001674,301,Ddx18
ENSMUSG00000001687,302,Ubl3
ENSMUSG00000001700,303,Gramd3
ENSMUSG00000001707,304,Eef1e1
ENSMUSG00000001729,305,Akt1
ENSMUSG00000001739,306,Cldn15
ENSMUSG00000001741,307,Il16
ENSMUSG00000001750,308,Tcirg1
ENSMUSG00000001751,309,Naglu
ENSMUSG00000001755,310,Coasy
ENSMUSG00000001761,311,Smo
ENSMUSG00000001763,312,Tspan33
